Date,Open,High,Low,Close,Volume
10/11/2021,12.15,12.54,12.02,12.33,"78,629"
10/12/2021,12.33,12.42,12,12.28,"76,260"
10/13/2021,12.19,12.31,11.85,12.11,"63,640"
10/14/2021,12.27,12.27,11.9,12.17,"48,631"
10/15/2021,12.2,12.2,11.65,12,"95,929"
10/18/2021,11.9,12.3,11.81,12.07,"57,994"
10/19/2021,12.25,12.32,12.09,12.31,"64,975"
10/20/2021,12.33,12.35,11.91,12.18,"84,915"
10/21/2021,12.1,12.2,11.7,11.74,"89,392"
10/22/2021,11.8,11.83,11.15,11.74,"102,255"
10/25/2021,11.7,11.96,11.52,11.83,"95,838"
10/26/2021,12.16,12.59,11.78,11.89,"100,830"
10/27/2021,11.86,12.26,11.78,11.94,"45,882"
10/28/2021,11.95,12.21,11.81,12.17,"95,556"
10/29/2021,12.18,12.22,11.96,12.19,"64,993"
11/1/2021,12.33,12.49,12.08,12.28,"86,295"
11/2/2021,12.26,12.73,11.95,12.73,"96,335"
11/3/2021,12.73,12.8,12.41,12.46,"165,743"
11/4/2021,14.31,14.9,14.02,14.19,"939,383"
11/5/2021,14.7,14.89,14.32,14.76,"293,819"
11/8/2021,15.65,17.02,15.61,16.76,"820,068"
11/9/2021,17.3,17.3,14.32,15.98,"700,835"
11/10/2021,16.35,16.63,14.36,14.63,"379,283"
11/11/2021,14.01,16.41,14,15.65,"436,144"
11/12/2021,15.89,16.7,15.4,16.26,"241,948"
11/15/2021,16.33,16.36,15.39,15.7,"187,734"
11/16/2021,15.61,16.97,15.22,16.1,"338,507"
11/17/2021,16.13,16.41,15.28,15.51,"241,817"
11/18/2021,15.7,15.93,14.64,14.94,"205,046"
11/19/2021,14.9,15.89,14.9,15.76,"162,727"
11/22/2021,16.07,17.1,16.07,16.84,"382,033"
11/23/2021,16.62,16.69,14.5,14.96,"396,728"
11/24/2021,14.86,15.69,14.59,15.54,"90,514"
11/26/2021,15,15.49,14.05,15.3,"109,343"
11/29/2021,15.4,16.1,15.09,15.92,"146,821"
11/30/2021,15.62,15.82,14.67,15.79,"107,463"
12/1/2021,15.93,16.3,14.36,14.53,"190,170"
12/2/2021,14.46,14.99,14.32,14.45,"107,121"
12/3/2021,14.46,15.07,14.1,14.33,"230,965"
12/6/2021,14.43,14.43,13.5,14.39,"267,006"
12/7/2021,14.39,15.1,14.39,15.04,"86,242"
12/8/2021,15.15,15.62,14.88,15.04,"58,305"
12/9/2021,15.3,15.78,14.54,14.89,"131,070"
12/10/2021,14.97,15.37,14.1,14.22,"62,526"
12/13/2021,14.27,15.66,14.24,15.15,"239,681"
12/14/2021,14.83,15.21,14.01,14.42,"125,235"
12/15/2021,14.4,15.49,14.02,15.01,"140,019"
12/16/2021,15.26,15.65,14.4,14.66,"105,017"
12/17/2021,14.58,14.74,13.8,13.81,"370,462"
12/20/2021,13.5,13.7,12.53,12.59,"214,227"
12/21/2021,13.2,13.87,13.1,13.47,"128,340"
12/22/2021,13.6,13.67,13.21,13.51,"127,736"
12/23/2021,13.51,14.38,13.51,13.9,"146,464"
12/27/2021,13.84,14.04,13.13,13.48,"96,391"
12/28/2021,13.43,13.56,13.02,13.26,"84,222"
12/29/2021,13.1,13.19,12.7,12.94,"102,120"
12/30/2021,12.79,13.5,12.78,13.27,"132,677"
12/31/2021,13.26,13.69,13.14,13.32,"69,322"
1/3/2022,13.5,13.85,13.36,13.6,"127,952"
1/4/2022,13.6,13.88,12.71,12.86,"123,344"
1/5/2022,12.8,12.86,11.52,11.63,"284,130"
1/6/2022,11.59,11.99,10.82,11.04,"131,379"
