Date,Open,High,Low,Close,Volume
10/11/2021,36.85,38.66,36.3,37.25,"37,351,442"
10/12/2021,37.25,37.57,36.22,36.82,"25,223,403"
10/13/2021,36.72,38.15,36.12,37.91,"33,484,458"
10/14/2021,37.8,41.1,37.75,40.07,"67,688,182"
10/15/2021,40.2,41.79,39.78,40.74,"46,524,699"
10/18/2021,40.8,43.63,40.49,43.03,"50,096,258"
10/19/2021,42.96,44.44,40.74,40.8,"52,769,246"
10/20/2021,40.65,41.75,40.3,40.88,"31,219,958"
10/21/2021,40.89,41.94,38.8,39.24,"33,977,566"
10/22/2021,37.31,37.67,35.96,36.6,"46,324,156"
10/25/2021,36.23,37.85,35.78,36.83,"30,905,449"
10/26/2021,36.53,37.4,35.78,36.05,"27,674,755"
10/27/2021,36.33,36.79,34.58,34.76,"25,904,059"
10/28/2021,35.09,36.07,34.86,35.23,"23,812,234"
10/29/2021,35.34,36.63,34.53,35.37,"32,841,461"
11/1/2021,35.65,37.19,35.39,37.07,"34,054,607"
11/2/2021,37.62,38.8,36.63,38.79,"44,361,690"
11/3/2021,40.99,44.21,38.88,40.79,"82,198,013"
11/4/2021,40.39,41.3,39.11,40.05,"28,553,682"
11/5/2021,41.16,41.97,39.93,41.7,"40,076,990"
11/8/2021,42.48,45.95,41.77,45.06,"70,347,849"
11/9/2021,42.43,42.6,39.25,39.93,"37,893,480"
11/10/2021,38.79,40.87,38.05,38.29,"32,463,562"
11/11/2021,38,40.2,37.5,39.46,"30,474,073"
11/12/2021,39.6,40.44,39.12,40,"23,623,094"
11/15/2021,40.35,43.23,40.21,42.68,"39,918,797"
11/16/2021,41.97,44.43,41.23,42.6,"38,388,194"
11/17/2021,42.34,44,42.02,42.13,"23,321,976"
11/18/2021,42.39,42.4,39.78,40.41,"25,262,017"
11/19/2021,40.2,41.38,39.66,40.87,"20,692,331"
11/22/2021,41.51,42.99,40.29,41.24,"28,831,820"
11/23/2021,41.25,42.03,38.07,39.16,"27,386,488"
11/24/2021,39.14,39.33,37.55,38.89,"18,270,760"
11/26/2021,36.29,38.16,36.13,37.63,"19,731,778"
11/29/2021,38.26,38.43,35.92,36.84,"24,063,834"
11/30/2021,36.77,37.05,32.75,33.94,"41,354,773"
12/1/2021,34.71,34.94,26.85,28.57,"63,510,555"
12/2/2021,29.27,31.22,27.01,30.28,"54,901,256"
12/3/2021,30.83,31.06,25.31,29.01,"66,188,555"
12/6/2021,28.1,30.47,27.15,28.79,"45,067,392"
12/7/2021,30.03,31.68,29.5,31.04,"47,927,072"
12/8/2021,30.78,33.92,29.77,32.35,"46,241,519"
12/9/2021,31.75,32.95,29.31,29.46,"36,556,771"
12/10/2021,29.35,29.93,26,27.44,"58,858,893"
12/13/2021,27.49,27.63,22.46,23.24,"84,199,780"
12/14/2021,20.91,25.12,20.8,24.5,"107,045,755"
12/15/2021,24.6,25.28,22.53,24.66,"53,208,188"
12/16/2021,25.35,25.87,24.08,24.45,"43,702,387"
12/17/2021,24.39,30.71,23.65,29.12,"144,753,081"
12/20/2021,28.96,30.7,28.11,29.7,"66,938,160"
12/21/2021,29.4,32.23,29.05,30.3,"46,852,460"
12/22/2021,29.94,30.48,28.04,28.68,"36,983,793"
12/23/2021,28.86,29.43,26.82,28.52,"37,005,880"
12/27/2021,28.35,29.39,27.01,28.7,"30,785,601"
12/28/2021,28.18,29.74,27.59,27.72,"31,588,097"
12/29/2021,27.75,28.35,26.62,27.95,"30,983,388"
12/30/2021,27.91,30.19,27.68,28.94,"36,056,434"
12/31/2021,28.76,29.4,27.11,27.2,"23,408,019"
1/3/2022,27.42,28.13,26.42,26.52,"26,810,811"
1/4/2022,26.67,26.67,24.64,25.49,"33,347,928"
1/5/2022,25.17,25.3,22.36,22.75,"45,172,063"
1/6/2022,22.96,23.77,20.8,22.46,"59,112,722"
1/7/2022,23.61,24.3,22.44,22.99,"49,480,990"
1/10/2022,22.42,22.87,21.25,22.78,"37,784,001"
1/11/2022,22.4,23.75,22.09,22.79,"36,063,761"
1/12/2022,22.86,23.36,22.05,22.72,"27,472,092"
1/13/2022,22.65,23.15,20.53,20.66,"41,004,986"
1/14/2022,20.33,21.08,19.51,20.57,"56,996,644"
1/18/2022,19.79,19.89,17.8,18.84,"55,799,864"
