Date,Open,High,Low,Close,Volume
10/11/2021,34.22,34.57,33.23,33.39,"21,394,944"
10/12/2021,33.24,33.95,32.64,33.01,"15,502,163"
10/13/2021,32.41,32.83,32.02,32.28,"14,943,948"
10/14/2021,32.9,33.19,31.77,31.99,"17,846,836"
10/15/2021,32.66,32.84,31.56,31.66,"14,781,603"
10/18/2021,32.92,33.93,32.59,32.93,"25,900,791"
10/19/2021,32.96,33.49,32.51,32.94,"13,006,205"
10/20/2021,32.45,33.45,32.21,33.36,"15,636,573"
10/21/2021,33.11,33.54,32.36,32.8,"14,869,306"
10/22/2021,32.94,33.97,32.77,33.93,"15,000,961"
10/25/2021,34.56,35.7,34.5,35.22,"19,253,696"
10/26/2021,35.5,35.75,35.01,35.36,"15,398,121"
10/27/2021,34.85,34.95,33.28,33.3,"20,124,769"
10/28/2021,33.35,33.84,33.17,33.83,"12,039,168"
10/29/2021,33.85,34.09,33.11,33.53,"13,346,473"
11/1/2021,34.32,34.9,33.71,34.81,"14,134,073"
11/2/2021,34.49,35.35,34.21,34.36,"11,557,958"
11/3/2021,33.81,34.54,33.52,33.85,"13,783,969"
11/4/2021,34.79,35.05,33.17,33.75,"20,375,392"
11/5/2021,34.14,34.14,32.73,33.42,"18,862,583"
11/8/2021,33.92,35.08,33.87,34.29,"14,267,474"
11/9/2021,34.21,34.59,32.95,33.74,"13,200,068"
11/10/2021,33.55,33.65,31.6,31.82,"17,560,966"
11/11/2021,32.05,32.6,31.79,32.12,"10,684,973"
11/12/2021,31.56,32.28,31.43,32.08,"10,241,314"
11/15/2021,31.62,32.35,31.17,31.98,"10,287,627"
11/16/2021,32.08,32.3,31.58,31.84,"10,348,517"
11/17/2021,31.59,31.87,30.54,30.76,"14,406,073"
11/18/2021,30.82,31.26,30.01,30.64,"12,789,728"
11/19/2021,29.54,29.93,28.81,29.12,"19,311,137"
11/22/2021,29.09,30.65,28.98,30.01,"16,567,328"
11/23/2021,30.66,32.28,30.62,31.92,"21,492,547"
11/24/2021,31.43,32.48,31.39,32.01,"11,491,014"
11/26/2021,29.34,29.88,27.85,29.7,"22,787,824"
11/29/2021,30.8,31.27,29.61,30.06,"15,448,122"
11/30/2021,29.1,29.97,29.02,29.65,"20,779,594"
12/1/2021,30.69,30.97,28.91,28.95,"19,018,772"
12/2/2021,28.53,29.71,27.82,29.65,"18,877,793"
12/3/2021,30.17,30.44,28.72,29.16,"15,148,793"
12/6/2021,29.75,30.26,29,29.84,"11,188,796"
12/7/2021,30.31,31.49,30.21,31.12,"13,643,812"
12/8/2021,31.3,31.46,30.74,30.77,"11,473,683"
12/9/2021,30.59,30.86,30.12,30.24,"9,111,662"
12/10/2021,30.68,30.9,29.72,30.77,"9,672,303"
12/13/2021,30.2,30.39,29.05,29.23,"12,525,655"
12/14/2021,28.98,29.64,28.61,28.74,"14,116,384"
12/15/2021,28.66,28.79,27.23,28.52,"19,091,740"
12/16/2021,29.01,29.7,28.31,28.38,"13,027,229"
12/17/2021,28.01,28.48,27.44,28.04,"23,540,994"
12/20/2021,26.9,27.22,26.05,26.98,"21,316,192"
12/21/2021,27.58,28.64,27.53,28.6,"13,116,158"
12/22/2021,28.44,29.27,28.24,28.92,"8,381,044"
12/23/2021,29.19,29.37,28.82,28.85,"8,401,591"
12/27/2021,28.61,29.7,28.2,29.64,"8,380,047"
12/28/2021,29.73,30.38,29.35,29.48,"9,545,606"
12/29/2021,29.27,29.68,29.01,29.26,"11,311,012"
12/30/2021,29.31,29.63,28.92,28.97,"9,509,485"
12/31/2021,28.83,29.23,28.75,28.99,"8,669,155"
1/3/2022,29.21,31.11,29.15,31.06,"15,095,852"
1/4/2022,31.61,33.72,31.41,33.38,"26,692,372"
1/5/2022,33.19,33.82,31.77,31.81,"21,157,260"
1/6/2022,33.23,33.48,31.92,32.76,"18,528,246"
1/7/2022,33.03,33.42,32.69,33.21,"14,884,484"
1/10/2022,33.09,33.32,31.93,32.38,"17,609,662"
1/11/2022,33.02,34.86,32.67,34.7,"20,876,121"
1/12/2022,34.92,35.42,34.12,34.75,"15,501,767"
1/13/2022,34.74,35.24,34.02,34.15,"13,529,490"
