Date,Open,High,Low,Close,Volume
10/14/2021,"4,386.75","4,439.73","4,386.75",4438.26,0
10/15/2021,"4,447.69","4,475.82","4,447.69",4471.37,0
10/18/2021,"4,463.72","4,488.75","4,447.47",4486.46,0
10/19/2021,"4,497.34","4,520.40","4,496.41",4519.63,0
10/20/2021,"4,524.42","4,540.87","4,524.40",4536.19,0
10/21/2021,"4,532.24","4,551.44","4,526.89",4549.78,0
10/22/2021,"4,546.12","4,559.67","4,524.00",4544.90,0
10/25/2021,"4,553.69","4,572.62","4,537.36",4566.48,0
10/26/2021,"4,578.69","4,598.53","4,569.17",4574.79,0
10/27/2021,"4,580.22","4,584.57","4,551.66",4551.68,0
10/28/2021,"4,562.84","4,597.55","4,562.84",4596.42,0
10/29/2021,"4,572.87","4,608.08","4,567.59",4605.38,0
11/1/2021,"4,610.62","4,620.34","4,595.06",4613.67,0
11/2/2021,"4,613.34","4,635.15","4,613.34",4630.65,0
11/3/2021,"4,630.65","4,663.46","4,621.19",4660.57,0
11/4/2021,"4,662.93","4,683.00","4,662.59",4680.06,0
11/5/2021,"4,699.26","4,718.50","4,681.32",4697.53,0
11/8/2021,"4,701.48","4,714.92","4,694.39",4701.70,0
11/9/2021,"4,707.25","4,708.53","4,670.87",4685.25,0
11/10/2021,"4,670.26","4,684.85","4,630.86",4646.71,0
11/11/2021,"4,659.39","4,664.55","4,648.31",4649.27,0
11/12/2021,"4,655.24","4,688.47","4,650.77",4682.85,0
11/15/2021,"4,689.30","4,697.42","4,672.86",4682.80,0
11/16/2021,"4,679.42","4,714.95","4,679.42",4700.90,0
11/17/2021,"4,701.50","4,701.50","4,684.41",4688.67,0
11/18/2021,"4,700.72","4,708.80","4,672.78",4704.54,0
11/19/2021,"4,708.44","4,717.75","4,694.22",4697.96,0
11/22/2021,"4,712.00","4,743.83","4,682.17",4682.94,0
11/23/2021,"4,678.48","4,699.39","4,652.66",4690.70,0
11/24/2021,"4,675.78","4,702.87","4,659.89",4701.46,0
11/26/2021,"4,664.63","4,664.63","4,585.43",4594.62,0
11/29/2021,"4,628.75","4,672.95","4,625.26",4655.27,0
11/30/2021,"4,640.25","4,646.02","4,560.00",4567.00,0
12/1/2021,"4,602.82","4,652.94","4,510.27",4513.04,0
12/2/2021,"4,504.73","4,595.46","4,504.73",4577.10,0
12/3/2021,"4,589.49","4,608.03","4,495.12",4538.43,0
12/6/2021,"4,548.37","4,612.60","4,540.51",4591.67,0
12/7/2021,"4,631.97","4,694.04","4,631.97",4686.75,0
12/8/2021,"4,690.86","4,705.06","4,674.52",4701.21,0
12/9/2021,"4,691.00","4,695.26","4,665.98",4667.45,0
12/10/2021,"4,687.64","4,713.57","4,670.24",4712.02,0
12/13/2021,"4,710.30","4,710.30","4,667.60",4668.97,0
12/14/2021,"4,642.99","4,660.47","4,606.52",4634.09,0
12/15/2021,"4,636.46","4,712.60","4,611.22",4709.85,0
12/16/2021,"4,719.13","4,731.99","4,651.89",4668.67,0
12/17/2021,"4,652.50","4,666.70","4,600.22",4620.64,0
12/20/2021,"4,587.90","4,587.90","4,531.10",4568.02,0
12/21/2021,"4,594.96","4,651.14","4,583.16",4649.23,0
12/22/2021,"4,650.36","4,697.67","4,645.53",4696.56,0
12/23/2021,"4,703.96","4,740.74","4,703.96",4725.79,0
12/27/2021,"4,733.99","4,791.49","4,733.99",4791.19,0
12/28/2021,"4,795.49","4,807.02","4,780.04",4786.35,0
12/29/2021,"4,788.64","4,804.06","4,778.08",4793.06,0
